Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Event (J1939),91:13,Not Available,Accelerator Pedal Position #1:Out of Calibration,2022-02-24 15:48:10,37075,TTG00233,Macaé
Low,Event (J1939),108:4,Not Available,Barometric Pressure:Voltage Below Normal,2022-02-24 15:19:59,37075,TTG00233,Macaé
Low,Event (J1939),101:3,Not Available,Engine Crankcase Pressure:Voltage Above Normal,2022-02-24 15:19:12,37075,TTG00233,Macaé
Low,Event (J1939),1177:3,Not Available,Engine Turbocharger #2 Compressor Inlet Pressure:Voltage Above Normal,2022-02-24 15:18:52,37075,TTG00233,Macaé
Low,Event (J1939),1176:3,Not Available,Engine Turbocharger #1 Compressor Inlet Pressure:Voltage Above Normal,2022-02-24 15:18:51,37075,TTG00233,Macaé
Low,Event (J1939),108:3,Not Available,Barometric Pressure:Voltage Above Normal,2022-02-24 15:16:45,37075,TTG00233,Macaé
Low,Event (J1939),1382:3,Not Available,Engine Fuel Filter (suction side) Differential Pressure:Voltage Above Normal,2022-02-24 15:16:24,37075,TTG00233,Macaé
Low,Event (J1939),100:3,Not Available,Engine Oil Pressure:Voltage Above Normal,2022-02-24 15:16:23,37075,TTG00233,Macaé
Low,Event (J1939),102:3,Not Available,Engine Intake Manifold #1 Pressure:Voltage Above Normal,2022-02-24 15:16:23,37075,TTG00233,Macaé
Low,Event (J1939),52:3,Not Available,Engine Intercooler Temperature:Voltage Above Normal,2022-02-24 15:16:23,37075,TTG00233,Macaé
Low,Event (J1939),94:3,Not Available,Engine Fuel Delivery Pressure:Voltage Above Normal,2022-02-24 15:16:23,37075,TTG00233,Macaé
Low,Event (J1939),110:3,Not Available,Engine Coolant Temperature:Voltage Above Normal,2022-02-24 14:54:43,37075,TTG00233,Macaé
Low,Event (J1939),620:4,Not Available,5 Volts DC Supply:Voltage Below Normal,2022-02-24 14:54:43,37075,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-17 11:06:00,37075,TTG00233,Macaé
Low,Event (J1939),620:4,Not Available,5 Volts DC Supply:Voltage Below Normal,2022-02-17 09:04:12,37073,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-16 22:53:43,37073,TTG00233,Macaé
Low,Event (J1939),1656:2,Not Available,"Engine Automatic Start Enable Switch:Erratic, Intermittent, or Incorrect",2022-02-16 15:31:09,37070,TTG00233,Macaé
Low,Event (J1939),620:4,Not Available,5 Volts DC Supply:Voltage Below Normal,2022-02-16 15:27:22,37070,TTG00233,Macaé
Low,Event (J1939),91:13,Not Available,Accelerator Pedal Position #1:Out of Calibration,2022-02-16 15:27:15,37070,TTG00233,Macaé
Low,Event (J1939),110:3,Not Available,Engine Coolant Temperature:Voltage Above Normal,2022-02-16 15:11:39,37070,TTG00233,Macaé
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-02-16 07:38:00,37070,TTG00233,Macaé
Low,Event (J1939),620:4,Communication Gateway #1,5 Volts DC Supply:Voltage Below Normal,2022-02-11 12:50:15,36955,TTG00233,Macaé
