RPM Range (%),Time (%),Hours (h),Asset,Site
1400-1500,0.06,33.589658871705595,ABB00232,Florianopolis
1500-1600,0.0,0.0,ABB00232,Florianopolis
1600-1700,0.04,22.3931059144704,ABB00232,Florianopolis
1700-1800,23.13,12948.813495042508,ABB00232,Florianopolis
1800-1900,13.54,7580.06635204823,ABB00232,Florianopolis
0-100,0.0,0.0,ABB00233,Marica
100-200,0.0,0.0,ABB00233,Marica
200-300,0.04,0.4723097080000007,ABB00233,Marica
300-400,0.0,0.0,ABB00233,Marica
400-500,0.0,0.0,ABB00233,Marica
500-600,0.0,0.0,ABB00233,Marica
600-700,0.76,8.973884452000014,ABB00233,Marica
700-800,0.0,0.0,ABB00233,Marica
800-900,0.13,1.5350065510000022,ABB00233,Marica
900-1000,0.0,0.0,ABB00233,Marica
1000-1100,0.0,0.0,ABB00233,Marica
1100-1200,0.0,0.0,ABB00233,Marica
1200-1300,0.04,0.4723097080000007,ABB00233,Marica
1300-1400,0.0,0.0,ABB00233,Marica
1400-1500,0.0,0.0,ABB00233,Marica
1500-1600,0.0,0.0,ABB00233,Marica
1600-1700,0.0,0.0,ABB00233,Marica
1700-1800,53.790000000000006,635.1384798330009,ABB00233,Marica
1800-1900,45.24,534.1822797480008,ABB00233,Marica
0-100,0.0,0.0,ABB00234,Martin Miller
100-200,0.04,2.568649166028798,ABB00234,Martin Miller
200-300,0.0,0.0,ABB00234,Martin Miller
300-400,0.0,0.0,ABB00234,Martin Miller
400-500,0.0,0.0,ABB00234,Martin Miller
500-600,0.18,11.558921247129591,ABB00234,Martin Miller
600-700,2.4,154.11894996172788,ABB00234,Martin Miller
700-800,0.18,11.558921247129591,ABB00234,Martin Miller
800-900,2.88,184.9427399540735,ABB00234,Martin Miller
900-1000,4.29,275.4876230565886,ABB00234,Martin Miller
1000-1100,4.84,310.8065490894846,ABB00234,Martin Miller
1100-1200,4.81,308.88006221496295,ABB00234,Martin Miller
1200-1300,1.66,106.59894039019512,ABB00234,Martin Miller
1300-1400,0.04,2.568649166028798,ABB00234,Martin Miller
1400-1500,0.0,0.0,ABB00234,Martin Miller
1500-1600,0.0,0.0,ABB00234,Martin Miller
1600-1700,0.0,0.0,ABB00234,Martin Miller
1700-1800,44.62,2865.3281447051245,ABB00234,Martin Miller
1800-1900,34.050000000000004,2186.5626025820147,ABB00234,Martin Miller
0-100,0.0,0.0,ABB00235,Florianopolis
100-200,0.0,0.0,ABB00235,Florianopolis
200-300,0.0,0.0,ABB00235,Florianopolis
300-400,0.0,0.0,ABB00235,Florianopolis
400-500,0.0,0.0,ABB00235,Florianopolis
500-600,0.06,3.2670799469952003,ABB00235,Florianopolis
600-700,7.62,414.9191532683905,ABB00235,Florianopolis
700-800,3.22,175.33329048874242,ABB00235,Florianopolis
800-900,15.329999999999998,834.7389264572736,ABB00235,Florianopolis
900-1000,18.44,1004.0825703765252,ABB00235,Florianopolis
1000-1100,9.53,518.9211982477376,ABB00235,Florianopolis
1100-1200,2.66,144.84054431678723,ABB00235,Florianopolis
1200-1300,2.58,140.48443772079364,ABB00235,Florianopolis
1300-1400,1.67,90.9337251913664,ABB00235,Florianopolis
1400-1500,0.06,3.2670799469952003,ABB00235,Florianopolis
1500-1600,0.02,1.0890266489984002,ABB00235,Florianopolis
1600-1700,0.02,1.0890266489984002,ABB00235,Florianopolis
1700-1800,29.84,1624.827760305613,ABB00235,Florianopolis
1800-1900,8.95,487.3394254267841,ABB00235,Florianopolis
0-100,0.0,0.0,ABB00239,SS Moretti
100-200,0.0,0.0,ABB00239,SS Moretti
200-300,0.0,0.0,ABB00239,SS Moretti
300-400,0.0,0.0,ABB00239,SS Moretti
400-500,0.0,0.0,ABB00239,SS Moretti
500-600,0.18,5.001380001100798,ABB00239,SS Moretti
600-700,10.06,279.52157117263346,ABB00239,SS Moretti
700-800,0.04,1.1114177780223995,ABB00239,SS Moretti
800-900,0.02,0.5557088890111997,ABB00239,SS Moretti
900-1000,0.02,0.5557088890111997,ABB00239,SS Moretti
1000-1100,0.06,1.6671266670335994,ABB00239,SS Moretti
1100-1200,0.0699999999999999,1.9449811115391988,ABB00239,SS Moretti
1200-1300,0.02,0.5557088890111997,ABB00239,SS Moretti
1300-1400,0.0,0.0,ABB00239,SS Moretti
1400-1500,0.02,0.5557088890111997,ABB00239,SS Moretti
1500-1600,0.0,0.0,ABB00239,SS Moretti
1600-1700,0.02,0.5557088890111997,ABB00239,SS Moretti
1700-1800,8.04,223.3949733825023,ABB00239,SS Moretti
1800-1900,81.46,2263.4023049426164,ABB00239,SS Moretti
0-100,0.0,0.0,ABB00240,SS Moretti
100-200,0.0,0.0,ABB00240,SS Moretti
200-300,0.0,0.0,ABB00240,SS Moretti
300-400,0.0,0.0,ABB00240,SS Moretti
400-500,0.0,0.0,ABB00240,SS Moretti
500-600,0.21,9.175528007083203,ABB00240,SS Moretti
600-700,1.92,83.89054177904643,ABB00240,SS Moretti
700-800,0.0,0.0,ABB00240,SS Moretti
800-900,0.03,1.3107897152976005,ABB00240,SS Moretti
900-1000,0.0,0.0,ABB00240,SS Moretti
1000-1100,0.03,1.3107897152976005,ABB00240,SS Moretti
1100-1200,0.03,1.3107897152976005,ABB00240,SS Moretti
1200-1300,0.0,0.0,ABB00240,SS Moretti
1300-1400,0.0,0.0,ABB00240,SS Moretti
1400-1500,0.03,1.3107897152976005,ABB00240,SS Moretti
1500-1600,0.03,1.3107897152976005,ABB00240,SS Moretti
1600-1700,0.03,1.3107897152976005,ABB00240,SS Moretti
1700-1800,10.57,461.8349096898546,ABB00240,SS Moretti
1800-1900,87.09,3805.222543508936,ABB00240,SS Moretti
0-100,0.0,0.0,ABC00546,Hendrix
100-200,0.0,0.0,ABC00546,Hendrix
200-300,1.54,6.344805075839993,ABC00546,Hendrix
300-400,0.38,1.5656012524799985,ABC00546,Hendrix
400-500,0.47,1.936401549119998,ABC00546,Hendrix
500-600,0.26,1.071200856959999,ABC00546,Hendrix
600-700,0.3,1.2360009887999983,ABC00546,Hendrix
700-800,0.09,0.3708002966399996,ABC00546,Hendrix
800-900,0.1699999999999999,0.7004005603199991,ABC00546,Hendrix
900-1000,0.26,1.071200856959999,ABC00546,Hendrix
1000-1100,0.0,0.0,ABC00546,Hendrix
1100-1200,0.0,0.0,ABC00546,Hendrix
1200-1300,0.0,0.0,ABC00546,Hendrix
1300-1400,0.0,0.0,ABC00546,Hendrix
1400-1500,0.04,0.1648001318399998,ABC00546,Hendrix
1500-1600,28.85,118.86209508959986,ABC00546,Hendrix
1600-1700,0.04,0.1648001318399998,ABC00546,Hendrix
1700-1800,29.880000000000003,123.10569848447987,ABC00546,Hendrix
1800-1900,37.73,155.44772435807982,ABC00546,Hendrix
0-100,0.0,0.0,ABC00547,Hendrix
100-200,0.0,0.0,ABC00547,Hendrix
200-300,0.0,0.0,ABC00547,Hendrix
300-400,0.0,0.0,ABC00547,Hendrix
400-500,0.0,0.0,ABC00547,Hendrix
500-600,0.0,0.0,ABC00547,Hendrix
600-700,0.0,0.0,ABC00547,Hendrix
700-800,0.0,0.0,ABC00547,Hendrix
800-900,0.0,0.0,ABC00547,Hendrix
900-1000,0.0,0.0,ABC00547,Hendrix
1000-1100,0.0,0.0,ABC00547,Hendrix
1100-1200,0.0,0.0,ABC00547,Hendrix
1200-1300,0.0,0.0,ABC00547,Hendrix
1300-1400,0.0,0.0,ABC00547,Hendrix
1400-1500,0.0,0.0,ABC00547,Hendrix
1500-1600,0.0,0.0,ABC00547,Hendrix
1600-1700,0.0,0.0,ABC00547,Hendrix
1700-1800,35.74,1796.2938370339198,ABC00547,Hendrix
1800-1900,64.25999999999999,3229.71018376608,ABC00547,Hendrix
0-100,0.0,0.0,ABC00548,Hendrix
100-200,0.0,0.0,ABC00548,Hendrix
200-300,0.0,0.0,ABC00548,Hendrix
300-400,0.0,0.0,ABC00548,Hendrix
400-500,0.0,0.0,ABC00548,Hendrix
500-600,0.0,0.0,ABC00548,Hendrix
600-700,0.0,0.0,ABC00548,Hendrix
700-800,0.0,0.0,ABC00548,Hendrix
800-900,0.03,0.9231007384800004,ABC00548,Hendrix
900-1000,0.0,0.0,ABC00548,Hendrix
1000-1100,0.0,0.0,ABC00548,Hendrix
1100-1200,0.0,0.0,ABC00548,Hendrix
1200-1300,0.0,0.0,ABC00548,Hendrix
1300-1400,0.0,0.0,ABC00548,Hendrix
1400-1500,0.03,0.9231007384800004,ABC00548,Hendrix
1500-1600,0.0,0.0,ABC00548,Hendrix
1600-1700,0.0,0.0,ABC00548,Hendrix
1700-1800,30.3,932.3317458648004,ABC00548,Hendrix
1800-1900,69.64,2142.824514258241,ABC00548,Hendrix
0-100,0.0,0.0,ABC00574,Ilhas Maldivas
100-200,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
200-300,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
300-400,0.0,0.0,ABC00574,Ilhas Maldivas
400-500,0.0,0.0,ABC00574,Ilhas Maldivas
500-600,0.0,0.0,ABC00574,Ilhas Maldivas
600-700,0.0,0.0,ABC00574,Ilhas Maldivas
700-800,0.0,0.0,ABC00574,Ilhas Maldivas
800-900,0.0,0.0,ABC00574,Ilhas Maldivas
900-1000,0.33,1.088469204107999,ABC00574,Ilhas Maldivas
1000-1100,0.0,0.0,ABC00574,Ilhas Maldivas
1100-1200,0.0,0.0,ABC00574,Ilhas Maldivas
1200-1300,0.0,0.0,ABC00574,Ilhas Maldivas
1300-1400,0.0,0.0,ABC00574,Ilhas Maldivas
1400-1500,0.0,0.0,ABC00574,Ilhas Maldivas
1500-1600,0.0,0.0,ABC00574,Ilhas Maldivas
1600-1700,7.489999999999999,24.704952541723973,ABC00574,Ilhas Maldivas
1700-1800,43.97,145.03027546857186,ABC00574,Ilhas Maldivas
1800-1900,47.56,156.87150105265587,ABC00574,Ilhas Maldivas
0-100,0.0,0.0,ABC00575,Ilhas Maldivas
100-200,0.0,0.0,ABC00575,Ilhas Maldivas
200-300,0.0,0.0,ABC00575,Ilhas Maldivas
300-400,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
400-500,0.0,0.0,ABC00575,Ilhas Maldivas
500-600,0.0,0.0,ABC00575,Ilhas Maldivas
600-700,0.0,0.0,ABC00575,Ilhas Maldivas
700-800,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
800-900,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
900-1000,0.0,0.0,ABC00575,Ilhas Maldivas
1000-1100,0.0,0.0,ABC00575,Ilhas Maldivas
1100-1200,0.0,0.0,ABC00575,Ilhas Maldivas
1200-1300,0.0,0.0,ABC00575,Ilhas Maldivas
1300-1400,0.0,0.0,ABC00575,Ilhas Maldivas
1400-1500,0.02,0.8778007022399994,ABC00575,Ilhas Maldivas
1500-1600,0.0,0.0,ABC00575,Ilhas Maldivas
1600-1700,0.0,0.0,ABC00575,Ilhas Maldivas
1700-1800,40.05,1757.795906235599,ABC00575,Ilhas Maldivas
1800-1900,59.86,2627.257501804318,ABC00575,Ilhas Maldivas
0-100,0.0,0.0,ABC00576,Ilhas Maldivas
100-200,0.0,0.0,ABC00576,Ilhas Maldivas
200-300,0.0,0.0,ABC00576,Ilhas Maldivas
300-400,0.0,0.0,ABC00576,Ilhas Maldivas
400-500,0.03,1.1157008925599992,ABC00576,Ilhas Maldivas
500-600,0.0,0.0,ABC00576,Ilhas Maldivas
600-700,0.0,0.0,ABC00576,Ilhas Maldivas
700-800,0.0,0.0,ABC00576,Ilhas Maldivas
800-900,0.05,1.859501487599999,ABC00576,Ilhas Maldivas
900-1000,0.0,0.0,ABC00576,Ilhas Maldivas
1000-1100,0.0,0.0,ABC00576,Ilhas Maldivas
1100-1200,0.0,0.0,ABC00576,Ilhas Maldivas
1200-1300,0.0,0.0,ABC00576,Ilhas Maldivas
1300-1400,0.0,0.0,ABC00576,Ilhas Maldivas
1400-1500,0.03,1.1157008925599992,ABC00576,Ilhas Maldivas
1500-1600,0.03,1.1157008925599992,ABC00576,Ilhas Maldivas
1600-1700,0.0,0.0,ABC00576,Ilhas Maldivas
1700-1800,32.35,1203.097462477199,ABC00576,Ilhas Maldivas
1800-1900,67.51,2510.6989085575183,ABC00576,Ilhas Maldivas
