QNT,L/hr,Site
0,0.0,Parcel do Manoel Luis
1,86.12132002477506,Parcel do Manoel Luis
2,209.76574362599362,Parcel do Manoel Luis
3,240.6890035865456,Parcel do Manoel Luis
4,,Parcel do Manoel Luis
