Timestamp,ABC00548_Load,ABC00547_Load,ABC00546_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-09-23,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-24,,39.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-25,,34.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-26,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-27,15.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-09-28,31.0,29.0,,1.0,95.8,0.0,0.0,Hendrix
2021-09-29,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-30,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-01,32.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-02,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-03,36.0,52.0,,1.0,79.2,20.8,0.0,Hendrix
2021-10-04,47.0,46.0,57.0,2.0,20.8,79.2,0.0,Hendrix
2021-10-05,34.0,36.0,,1.0,62.5,37.5,0.0,Hendrix
2021-10-06,32.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-07,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-08,52.0,39.0,,1.0,75.0,25.0,0.0,Hendrix
2021-10-09,48.0,42.0,44.0,2.0,41.7,54.2,4.2,Hendrix
2021-10-10,24.0,26.0,26.0,1.0,83.3,4.2,0.0,Hendrix
2021-10-11,46.0,52.0,26.0,1.0,79.2,20.8,0.0,Hendrix
2021-10-12,56.0,45.0,,2.0,50.0,50.0,0.0,Hendrix
2021-10-13,45.0,41.0,,1.0,54.2,45.8,0.0,Hendrix
2021-10-14,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-15,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-16,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-17,29.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2021-10-18,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-19,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-20,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-21,29.0,16.0,,1.0,95.8,4.2,0.0,Hendrix
2021-10-22,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-23,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-24,38.0,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-25,9.0,31.0,,1.0,91.7,4.2,0.0,Hendrix
