Timestamp,ABC00575_Load,ABC00576_Load,ABC00574_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-09-14,32.0,35.0,,2.0,16.7,79.2,0.0,Ilhas Maldivas
2021-09-15,46.0,36.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-09-16,,36.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-09-17,23.0,34.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-09-18,31.0,35.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-09-19,39.0,49.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2021-09-20,26.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-09-21,26.0,27.0,,1.0,79.2,20.8,0.0,Ilhas Maldivas
2021-09-22,26.0,30.0,,1.0,58.3,41.7,0.0,Ilhas Maldivas
2021-09-23,27.0,27.0,,1.0,62.5,37.5,0.0,Ilhas Maldivas
2021-09-24,18.0,28.0,25.0,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-09-25,14.0,20.0,25.0,1.0,41.7,8.3,0.0,Ilhas Maldivas
2021-09-26,26.0,,,0.0,33.3,0.0,0.0,Ilhas Maldivas
2021-09-27,26.0,29.0,18.0,1.0,50.0,4.2,0.0,Ilhas Maldivas
2021-09-28,37.0,39.0,,1.0,33.3,25.0,0.0,Ilhas Maldivas
2021-09-29,32.0,43.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-09-30,49.0,43.0,46.0,1.0,58.3,37.5,4.2,Ilhas Maldivas
2021-10-01,,38.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-10-02,21.0,35.0,21.0,1.0,66.7,33.3,0.0,Ilhas Maldivas
2021-10-03,28.0,33.0,26.0,2.0,37.5,62.5,0.0,Ilhas Maldivas
2021-10-04,35.0,42.0,,2.0,29.2,70.8,0.0,Ilhas Maldivas
2021-10-05,27.0,27.0,,1.0,91.7,4.2,0.0,Ilhas Maldivas
2021-10-06,27.0,,25.0,1.0,95.8,0.0,0.0,Ilhas Maldivas
2021-10-07,25.0,,26.0,1.0,58.3,41.7,0.0,Ilhas Maldivas
2021-10-08,30.0,46.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-10-09,43.0,18.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2021-10-10,37.0,46.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-10-11,34.0,49.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2021-10-12,34.0,36.0,,1.0,79.2,20.8,0.0,Ilhas Maldivas
2021-10-13,38.0,38.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2021-10-14,29.0,35.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-10-15,33.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-10-16,33.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-10-17,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-10-18,44.0,45.0,,2.0,33.3,66.7,0.0,Ilhas Maldivas
2021-10-19,34.0,28.0,,1.0,54.2,45.8,0.0,Ilhas Maldivas
2021-10-20,26.0,25.0,,1.0,83.3,4.2,0.0,Ilhas Maldivas
2021-10-21,38.0,33.0,,2.0,45.8,54.2,0.0,Ilhas Maldivas
2021-10-22,45.0,32.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-10-23,26.0,29.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-10-24,25.0,29.0,,1.0,66.7,33.3,0.0,Ilhas Maldivas
2021-10-25,,29.0,,1.0,87.5,0.0,0.0,Ilhas Maldivas
2021-10-26,,28.0,,1.0,95.8,0.0,0.0,Ilhas Maldivas
2021-10-27,51.0,32.0,17.0,1.0,79.2,20.8,0.0,Ilhas Maldivas
2021-10-28,32.0,31.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2021-10-29,45.0,32.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-10-30,28.0,28.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-10-31,25.0,26.0,,2.0,45.8,54.2,0.0,Ilhas Maldivas
2021-11-01,28.0,24.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-11-02,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-03,29.0,32.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-11-04,29.0,,,1.0,95.8,0.0,0.0,Ilhas Maldivas
2021-11-05,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-06,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-07,29.0,30.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-11-08,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-09,33.0,38.0,,1.0,70.8,29.2,0.0,Ilhas Maldivas
2021-11-10,28.0,26.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2021-11-11,40.0,29.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-11-12,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-13,29.0,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-14,47.0,30.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-11-15,27.0,28.0,,1.0,87.5,8.3,0.0,Ilhas Maldivas
2021-11-16,52.0,45.0,,2.0,0.0,100.0,0.0,Ilhas Maldivas
2021-11-17,47.0,33.0,,1.0,54.2,45.8,0.0,Ilhas Maldivas
2021-11-18,27.0,25.0,,1.0,62.5,37.5,0.0,Ilhas Maldivas
2021-11-19,27.0,26.0,,2.0,0.0,100.0,0.0,Ilhas Maldivas
2021-11-20,26.0,25.0,,1.0,58.3,41.7,0.0,Ilhas Maldivas
2021-11-21,,27.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-22,,27.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-23,32.0,38.0,,1.0,58.3,41.7,0.0,Ilhas Maldivas
2021-11-24,26.0,23.0,29.0,1.0,79.2,20.8,0.0,Ilhas Maldivas
2021-11-25,28.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-26,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-27,37.0,45.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-11-28,32.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-11-29,35.0,39.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2021-11-30,,32.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2021-12-01,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
