Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.26,8.000206400160003,SLM00548,Jim O'Brien
10-20%,1.76,54.15524332416002,SLM00548,Jim O'Brien
20-30%,60.29,1855.1247840986407,SLM00548,Jim O'Brien
30-40%,20.57,632.9394063511202,SLM00548,Jim O'Brien
40-50%,11.690000000000001,359.7015877610401,SLM00548,Jim O'Brien
50-60%,5.4,166.15813292640007,SLM00548,Jim O'Brien
60-70%,0.03,0.9231007384800003,SLM00548,Jim O'Brien
70-80%,0.0,0.0,SLM00548,Jim O'Brien
80-90%,0.0,0.0,SLM00548,Jim O'Brien
90-100%,0.0,0.0,SLM00548,Jim O'Brien
100-110%,0.0,0.0,SLM00548,Jim O'Brien
