Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.33,1.088469204107999,SLM00574,Fernando de Noronha
10-20%,7.19,23.71543508344398,SLM00574,Fernando de Noronha
20-30%,38.89,128.2744465083639,SLM00574,Fernando de Noronha
30-40%,13.73,45.28691567394796,SLM00574,Fernando de Noronha
40-50%,22.220000000000002,73.29025974327195,SLM00574,Fernando de Noronha
50-60%,9.48,31.268751681647974,SLM00574,Fernando de Noronha
60-70%,3.27,10.78574029525199,SLM00574,Fernando de Noronha
70-80%,0.33,1.088469204107999,SLM00574,Fernando de Noronha
80-90%,0.33,1.088469204107999,SLM00574,Fernando de Noronha
90-100%,4.25,14.018163992299987,SLM00574,Fernando de Noronha
100-110%,0.0,0.0,SLM00574,Fernando de Noronha
