Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,22.95,12848.04451842739,TTG00232,Ilha da Trindade
10-20%,19.13,10709.502903595469,TTG00232,Ilha da Trindade
20-30%,13.26,7423.314610646938,TTG00232,Ilha da Trindade
30-40%,16.78,9393.907931120333,TTG00232,Ilha da Trindade
40-50%,22.11,12377.789294223512,TTG00232,Ilha da Trindade
50-60%,3.75,2099.3536794816,TTG00232,Ilha da Trindade
60-70%,1.47,822.9466423567872,TTG00232,Ilha da Trindade
70-80%,0.13999999999999999,78.37587070064639,TTG00232,Ilha da Trindade
80-90%,0.09,50.38448830755839,TTG00232,Ilha da Trindade
90-100%,0.32,179.14484731576317,TTG00232,Ilha da Trindade
100-110%,0.0,0.0,TTG00232,Ilha da Trindade
