RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,TTG00230,Macaé
100-200,0.0,0.0,TTG00230,Macaé
200-300,0.0,0.0,TTG00230,Macaé
300-400,0.0,0.0,TTG00230,Macaé
400-500,0.0,0.0,TTG00230,Macaé
500-600,0.15,5.887584710064005,TTG00230,Macaé
600-700,1.82,71.43602781544328,TTG00230,Macaé
700-800,0.09,3.532550826038403,TTG00230,Macaé
800-900,0.03,1.177516942012801,TTG00230,Macaé
900-1000,0.06,2.355033884025602,TTG00230,Macaé
1000-1100,0.0,0.0,TTG00230,Macaé
1100-1200,0.03,1.177516942012801,TTG00230,Macaé
1200-1300,0.0,0.0,TTG00230,Macaé
1300-1400,0.0,0.0,TTG00230,Macaé
1400-1500,0.03,1.177516942012801,TTG00230,Macaé
1500-1600,0.03,1.177516942012801,TTG00230,Macaé
1600-1700,0.0,0.0,TTG00230,Macaé
1700-1800,67.45,2647.4505912921145,TTG00230,Macaé
1800-1900,30.320000000000004,1190.0771227276045,TTG00230,Macaé
