Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,225:3,Engine,Engine Overcrank,1,ABA00243,Lewis Hamilton
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2,ABA00243,Lewis Hamilton
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,1,ABA00243,Lewis Hamilton
Low,Diagnostic,175:3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1,ABA00243,Lewis Hamilton
Low,Diagnostic,275:3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1,ABA00243,Lewis Hamilton
Low,Diagnostic,276:3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1,ABA00243,Lewis Hamilton
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2,ABA00243,Lewis Hamilton
Low,Diagnostic,542:4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,2,ABA00243,Lewis Hamilton
Low,Event,173:1,Engine,High Exhaust Temperature Warning,1,ABA00243,Lewis Hamilton
Low,Event,272:1,Engine,Inlet Air Restriction Warning,1,ABA00243,Lewis Hamilton
Low,Event,38:1,Engine,Low Engine Coolant Temperature Warning,1,ABA00243,Lewis Hamilton
Low,Event,95:1,Engine,Fuel Filter Restriction Warning,1,ABA00243,Lewis Hamilton
Medium,Diagnostic,11:5,Engine,Cylinder #11 Injector:Current Below Normal,1,ABA00243,Lewis Hamilton
Medium,Diagnostic,16:5,Engine,Cylinder #16 Injector:Current Below Normal,1,ABA00243,Lewis Hamilton
Medium,Event,21:2,Engine,High Exhaust Temperature Derate,1,ABA00243,Lewis Hamilton
Medium,Event,31:2,Engine,Air Filter Restriction Derate,1,ABA00243,Lewis Hamilton
