Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-19 04:03:29,41697,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-19 03:46:32,41697,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-19 03:02:24,41696,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-19 02:08:54,41696,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-19 01:47:16,41695,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-19 01:05:57,41694,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-19 00:13:38,41694,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-18 23:50:48,41693,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 22:58:40,41692,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-18 22:43:15,41692,ABB00230,Marica
Medium,Diagnostic,3:5,Engine #3,Cylinder #3 Injector:Current Below Normal,2022-04-18 21:42:25,41691,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 21:41:05,41691,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 20:41:00,41690,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 16:57:29,41686,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 15:55:38,41685,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 14:34:59,41684,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 13:27:39,41683,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 11:12:50,41681,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 08:48:35,41678,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 06:57:01,41676,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 05:50:40,41675,ABB00230,Marica
Medium,Diagnostic,7:5,Engine #3,Cylinder #7 Injector:Current Below Normal,2022-04-18 03:56:19,41673,ABB00230,Marica
