Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-19 04:46:07,27750,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-16 12:49:44,27693,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-15 11:46:58,27690,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-13 23:46:32,27670,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-11-01 09:33:14,27368,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-27 20:20:11,27263,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-21 12:43:14,27259,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-20 00:56:27,27253,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-19 14:18:02,27246,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-14 14:24:46,27244,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-09 16:54:47,27163,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-08 22:16:54,27159,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-05 10:08:23,27131,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-10-03 17:19:04,27103,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-29 15:26:57,27079,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-27 21:41:58,27077,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-23 19:48:17,27003,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-21 16:26:35,26999,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-19 23:25:53,26997,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-17 16:25:02,26981,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-14 09:46:34,26908,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-13 16:30:05,26891,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-13 06:26:03,26890,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-11 22:14:36,26867,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-07 17:30:58,26811,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-04 18:58:33,26798,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-04 14:09:24,26797,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-02 16:37:55,26794,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-01 10:40:11,26788,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-08-30 14:38:19,26786,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-08-24 10:56:38,26784,ABB00239,SS Moretti
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-08-18 15:12:59,26647,ABB00239,SS Moretti
