Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-26 12:51:50,38045,ABB00233,Marica
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-25 20:56:23,38029,ABB00233,Marica
Low,Event (J1939),95:15,Not Available,Engine Fuel Filter Differential Pressure:High - least severe (1),2022-04-25 04:07:44,38012,ABB00233,Marica
Low,Event (J1939),102:4,Not Available,Engine Intake Manifold #1 Pressure:Voltage Below Normal,2022-04-23 05:45:52,37966,ABB00233,Marica
Low,Event (J1939),91:13,Not Available,Accelerator Pedal Position #1:Out of Calibration,2022-04-23 05:45:52,37966,ABB00233,Marica
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-23 04:33:59,37966,ABB00233,Marica
Low,Event (J1939),620:4,Not Available,5 Volts DC Supply:Voltage Below Normal,2022-04-17 09:37:21,37827,ABB00233,Marica
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 09:55:15,37779,ABB00233,Marica
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 03:25:09,37773,ABB00233,Marica
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-15 00:17:30,37770,ABB00233,Marica
Low,Event (J1939),110:17,Not Available,Engine Coolant Temperature:Low - least severe (1),2022-04-14 18:02:38,37763,ABB00233,Marica
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-14 11:53:15,37761,ABB00233,Marica
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-13 14:16:48,37760,ABB00233,Marica
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-11 01:23:38,37736,ABB00233,Marica
