Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.26,8.000206400160003,ABC00548,Hendrix
10-20%,1.76,54.15524332416002,ABC00548,Hendrix
20-30%,60.29,1855.1247840986407,ABC00548,Hendrix
30-40%,20.57,632.9394063511202,ABC00548,Hendrix
40-50%,11.690000000000001,359.7015877610401,ABC00548,Hendrix
50-60%,5.4,166.15813292640007,ABC00548,Hendrix
60-70%,0.03,0.9231007384800003,ABC00548,Hendrix
70-80%,0.0,0.0,ABC00548,Hendrix
80-90%,0.0,0.0,ABC00548,Hendrix
90-100%,0.0,0.0,ABC00548,Hendrix
100-110%,0.0,0.0,ABC00548,Hendrix
