Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.21,2.4796259670000036,ABB00233,Marica
10-20%,0.04,0.4723097080000007,ABB00233,Marica
20-30%,61.09,721.3350015430011,ABB00233,Marica
30-40%,33.79,398.98362583300053,ABB00233,Marica
40-50%,4.31,50.89137103700007,ABB00233,Marica
50-60%,0.51,6.021948777000009,ABB00233,Marica
60-70%,0.04,0.4723097080000007,ABB00233,Marica
70-80%,0.0,0.0,ABB00233,Marica
80-90%,0.0,0.0,ABB00233,Marica
90-100%,0.0,0.0,ABB00233,Marica
100-110%,0.0,0.0,ABB00233,Marica
