Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,2.26,9.311207448959989,SLM00546,Jim O'Brien
10-20%,5.99,24.67881974303997,SLM00546,Jim O'Brien
20-30%,29.43,121.25169700127987,SLM00546,Jim O'Brien
30-40%,11.68,48.121638497279946,SLM00546,Jim O'Brien
40-50%,15.8,65.09605207679994,SLM00546,Jim O'Brien
50-60%,33.160000000000004,136.61930929535984,SLM00546,Jim O'Brien
60-70%,0.26,1.0712008569599987,SLM00546,Jim O'Brien
70-80%,0.0,0.0,SLM00546,Jim O'Brien
80-90%,0.04,0.16480013183999984,SLM00546,Jim O'Brien
90-100%,1.39,5.7268045814399935,SLM00546,Jim O'Brien
100-110%,0.0,0.0,SLM00546,Jim O'Brien
