QNT,%,Site
0,73.27441077441077,Parcel do Manoel Luis
1,19.454966329966332,Parcel do Manoel Luis
2,2.8829966329966332,Parcel do Manoel Luis
3,4.387626262626262,Parcel do Manoel Luis
4,0.0,Parcel do Manoel Luis
