RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,TTG00234,Martin Vaz
100-200,0.04,2.568649166028798,TTG00234,Martin Vaz
200-300,0.0,0.0,TTG00234,Martin Vaz
300-400,0.0,0.0,TTG00234,Martin Vaz
400-500,0.0,0.0,TTG00234,Martin Vaz
500-600,0.18,11.558921247129593,TTG00234,Martin Vaz
600-700,2.4,154.11894996172788,TTG00234,Martin Vaz
700-800,0.18,11.558921247129593,TTG00234,Martin Vaz
800-900,2.88,184.9427399540735,TTG00234,Martin Vaz
900-1000,4.29,275.4876230565886,TTG00234,Martin Vaz
1000-1100,4.84,310.8065490894846,TTG00234,Martin Vaz
1100-1200,4.81,308.88006221496295,TTG00234,Martin Vaz
1200-1300,1.66,106.59894039019511,TTG00234,Martin Vaz
1300-1400,0.04,2.568649166028798,TTG00234,Martin Vaz
1400-1500,0.0,0.0,TTG00234,Martin Vaz
1500-1600,0.0,0.0,TTG00234,Martin Vaz
1600-1700,0.0,0.0,TTG00234,Martin Vaz
1700-1800,44.62,2865.3281447051245,TTG00234,Martin Vaz
1800-1900,34.050000000000004,2186.5626025820147,TTG00234,Martin Vaz
