RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,TTG00233,Macaé
100-200,0.0,0.0,TTG00233,Macaé
200-300,0.04,0.4723097080000007,TTG00233,Macaé
300-400,0.0,0.0,TTG00233,Macaé
400-500,0.0,0.0,TTG00233,Macaé
500-600,0.0,0.0,TTG00233,Macaé
600-700,0.76,8.973884452000014,TTG00233,Macaé
700-800,0.0,0.0,TTG00233,Macaé
800-900,0.13,1.5350065510000022,TTG00233,Macaé
900-1000,0.0,0.0,TTG00233,Macaé
1000-1100,0.0,0.0,TTG00233,Macaé
1100-1200,0.0,0.0,TTG00233,Macaé
1200-1300,0.04,0.4723097080000007,TTG00233,Macaé
1300-1400,0.0,0.0,TTG00233,Macaé
1400-1500,0.0,0.0,TTG00233,Macaé
1500-1600,0.0,0.0,TTG00233,Macaé
1600-1700,0.0,0.0,TTG00233,Macaé
1700-1800,53.790000000000006,635.1384798330009,TTG00233,Macaé
1800-1900,45.24,534.1822797480008,TTG00233,Macaé
