RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,SLM00574,Fernando de Noronha
100-200,0.33,1.088469204107999,SLM00574,Fernando de Noronha
200-300,0.33,1.088469204107999,SLM00574,Fernando de Noronha
300-400,0.0,0.0,SLM00574,Fernando de Noronha
400-500,0.0,0.0,SLM00574,Fernando de Noronha
500-600,0.0,0.0,SLM00574,Fernando de Noronha
600-700,0.0,0.0,SLM00574,Fernando de Noronha
700-800,0.0,0.0,SLM00574,Fernando de Noronha
800-900,0.0,0.0,SLM00574,Fernando de Noronha
900-1000,0.33,1.088469204107999,SLM00574,Fernando de Noronha
1000-1100,0.0,0.0,SLM00574,Fernando de Noronha
1100-1200,0.0,0.0,SLM00574,Fernando de Noronha
1200-1300,0.0,0.0,SLM00574,Fernando de Noronha
1300-1400,0.0,0.0,SLM00574,Fernando de Noronha
1400-1500,0.0,0.0,SLM00574,Fernando de Noronha
1500-1600,0.0,0.0,SLM00574,Fernando de Noronha
1600-1700,7.489999999999999,24.704952541723973,SLM00574,Fernando de Noronha
1700-1800,43.97,145.03027546857186,SLM00574,Fernando de Noronha
1800-1900,47.56,156.87150105265587,SLM00574,Fernando de Noronha
