RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,SLM00546,Jim O'Brien
100-200,0.0,0.0,SLM00546,Jim O'Brien
200-300,1.54,6.344805075839993,SLM00546,Jim O'Brien
300-400,0.38,1.5656012524799983,SLM00546,Jim O'Brien
400-500,0.47000000000000003,1.936401549119998,SLM00546,Jim O'Brien
500-600,0.26,1.0712008569599987,SLM00546,Jim O'Brien
600-700,0.3,1.2360009887999985,SLM00546,Jim O'Brien
700-800,0.09,0.3708002966399996,SLM00546,Jim O'Brien
800-900,0.16999999999999998,0.7004005603199991,SLM00546,Jim O'Brien
900-1000,0.26,1.0712008569599987,SLM00546,Jim O'Brien
1000-1100,0.0,0.0,SLM00546,Jim O'Brien
1100-1200,0.0,0.0,SLM00546,Jim O'Brien
1200-1300,0.0,0.0,SLM00546,Jim O'Brien
1300-1400,0.0,0.0,SLM00546,Jim O'Brien
1400-1500,0.04,0.16480013183999984,SLM00546,Jim O'Brien
1500-1600,28.849999999999998,118.86209508959986,SLM00546,Jim O'Brien
1600-1700,0.04,0.16480013183999984,SLM00546,Jim O'Brien
1700-1800,29.880000000000003,123.10569848447987,SLM00546,Jim O'Brien
1800-1900,37.730000000000004,155.44772435807982,SLM00546,Jim O'Brien
