RPM Range (%),Time (%),Hours (h),Asset,Site
0-100,0.0,0.0,ABC00546,Hendrix
100-200,0.0,0.0,ABC00546,Hendrix
200-300,1.54,6.344805075839993,ABC00546,Hendrix
300-400,0.38,1.5656012524799983,ABC00546,Hendrix
400-500,0.47000000000000003,1.936401549119998,ABC00546,Hendrix
500-600,0.26,1.0712008569599987,ABC00546,Hendrix
600-700,0.3,1.2360009887999985,ABC00546,Hendrix
700-800,0.09,0.3708002966399996,ABC00546,Hendrix
800-900,0.16999999999999998,0.7004005603199991,ABC00546,Hendrix
900-1000,0.26,1.0712008569599987,ABC00546,Hendrix
1000-1100,0.0,0.0,ABC00546,Hendrix
1100-1200,0.0,0.0,ABC00546,Hendrix
1200-1300,0.0,0.0,ABC00546,Hendrix
1300-1400,0.0,0.0,ABC00546,Hendrix
1400-1500,0.04,0.16480013183999984,ABC00546,Hendrix
1500-1600,28.849999999999998,118.86209508959986,ABC00546,Hendrix
1600-1700,0.04,0.16480013183999984,ABC00546,Hendrix
1700-1800,29.880000000000003,123.10569848447987,ABC00546,Hendrix
1800-1900,37.730000000000004,155.44772435807982,ABC00546,Hendrix
