Timestamp,Batt,Fuel Filter Differential Pressure [kPa],EXH_R,Load,Total_Fuel,Fuel_Rate,Boost,Fuel_Press,EXH_L,Throttle Position [%],Oil Filter Differential Pressure [kPa],Oil_Press,RPM,Coolant_Temp,Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],SMH,Run Status,DIAG_STATS,EVENT_STATS,Cumulative Max Fuel Usage [L],Engine Code Description,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-08-24,27.0,45.833333333333336,423.3333333333333,34.333333333333336,327.7534158333333,103.03333486864956,37.0,490.5,359.0,88.8000013232231,66.83333333333333,470.8333333333333,1797.6666666666667,79.0,,,,5.335305194166668,,,,,,0.7355098476666665,1678.0,576.1133333333333,150.99045467345306,116.08590666666669,64.33333333333333,TTG00231,Martin Vaz
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTG00231,Martin Vaz
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTG00231,Martin Vaz
2021-08-27,27.0,39.09090909090909,355.0,28.09090909090909,961.1069957954546,70.40909195826806,15.909090909090908,464.45454545454544,323.27272727272725,55.05454627492208,51.0,471.3636363636364,1362.5,77.45454545454545,,,,13.366875495356645,,,,,,0.8877409329324011,1165.858181818182,341.98855,181.98288769945646,65.55641863636363,31.727272727272727,TTG00231,Martin Vaz
2021-08-28,27.0,39.035714285714285,318.92857142857144,21.5,1708.0310692857145,63.7571438071983,11.678571428571429,447.57142857142856,287.64285714285717,43.68571493668214,47.03846153846154,453.2857142857143,1216.5357142857142,77.07142857142857,,,,26.32963840191121,,,,,,0.9092441339881319,948.9275,244.41553214285713,2047.039320502845,64.18297848214284,31.285714285714285,TTG00231,Martin Vaz
2021-08-29,27.0,42.47727272727273,342.27272727272725,22.363636363636363,2966.234371193182,77.77500115893783,22.136363636363637,466.3863636363636,282.77272727272725,64.12727368284355,62.86363636363637,459.34090909090907,1478.3636363636363,77.72727272727273,,,,47.68198612535637,,,,,,0.9598886466981814,1219.8152272727273,359.41638863636365,1409.13664130164,83.9242603409091,59.5,TTG00231,Martin Vaz
2021-08-30,27.0,49.354166666666664,433.625,35.041666666666664,5271.558022864583,109.9604183052046,39.145833333333336,495.3958333333333,366.5833333333333,88.8000013232231,68.52083333333333,476.875,1797.625,79.83333333333333,,,,71.24283523496334,,,,,,0.9601012310433333,1678.0,587.9991666666666,158.7476465488424,110.40779166666668,67.04166666666667,TTG00231,Martin Vaz
2021-08-31,27.0,52.875,454.7916666666667,38.541666666666664,8175.1843653125,128.90000192075965,46.8125,493.8125,394.4583333333333,88.8000013232231,70.5625,474.8958333333333,1797.4166666666667,81.45833333333333,,,,95.24634054886333,,,,,,0.9601030828966662,1678.0,646.7291666666666,168.89910685262686,128.84194973958333,60.333333333333336,TTG00231,Martin Vaz
2021-09-01,27.0,59.1875,447.1666666666667,37.333333333333336,11207.968108333334,119.41250177938487,41.708333333333336,497.8333333333333,383.4166666666667,88.8000013232231,63.083333333333336,483.5,1797.6666666666667,81.08333333333333,,,,119.24739632376667,,,,,,0.9599100271866666,1678.0,626.4533333333334,161.6783255033675,119.9698950520833,63.75,TTG00231,Martin Vaz
2021-09-02,27.0,65.75,438.0833333333333,35.875,13918.144227239582,109.21666829412186,38.333333333333336,505.7708333333333,368.7083333333333,88.76666798939307,10.645833333333334,534.8541666666666,1798.1041666666667,80.33333333333333,,,,143.24874885816666,,,,,,0.9601229903199998,1678.0,601.9825,154.54457249187132,108.61366505208336,69.375,TTG00231,Martin Vaz
