Timestamp,Fuel_Press,Oil Filter Differential Pressure [kPa],Aftercooler Temperature [Deg. C],Coolant_Temp,Fuel_Rate,Oil_Temp,Throttle Position [%],Boost,EXH_L,Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],RPM,EXH_R,Fuel Filter Differential Pressure [kPa],Engine Acceleration Rate [REUSE],Fuel Position,FRC Fuel Limit,Batt,Right Turbo Inlet Pressure (absolute) [kPa],Crank_Press,Load,Total_Fuel,Left Turbo Inlet Pressure (absolute) [kPa],Peak Air Filter Restriction [kPa],Oil_Press,Turbo Outlet Pressure (absolute) [kPa],SMH,Cumulative Max Fuel Usage [L],Cumulative Idle Time [Hrs],Cumulative Fuel Used Daily [L],Cumulative Idle Fuel Usage [L],Run Status,EVENT_STATS,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-07-01,501.6041666666667,68.8125,26.041666666666668,80.04166666666667,110.91041831936063,90.0,78.70000117272137,19.708333333333332,328.7916666666667,0.4958333407218259,1.4000000208616277,1801.1666666666667,344.9166666666667,1.75,250.0,97.72291812285164,400.000005960464,26.5,101.5,,28.916666666666668,3494430.182682292,100.58333333333333,3.5,450.0,123.0,29327.263461792,,,,,,,,0.12000009600008828,1632.0,471.92,198.4234779440524,108.72018229167831,16.791666666666668,SLM00547,Jim O'Brien
2021-07-02,498.6666666666667,69.08333333333333,26.958333333333332,80.41666666666667,114.23125170217827,90.0,78.78333450729649,27.104166666666668,341.875,0.5041666741793353,1.4625000217929491,1800.6875,354.25,1.9583333333333333,250.0,100.26458482739206,400.000005960464,26.4375,101.5625,,29.666666666666668,3497014.6082812496,100.625,3.5,448.9166666666667,129.0625,29342.0234736,,,,,,,,0.9600007679999484,1632.0,484.16,195.95888038974806,124.17559895833256,15.625,SLM00547,Jim O'Brien
2021-07-03,489.0416666666667,70.33333333333333,26.791666666666668,80.91666666666667,169.40208585762105,90.0,79.86666785677274,56.416666666666664,447.8333333333333,0.691666676973303,1.8375000273808846,1798.8958333333333,465.7916666666667,3.25,250.0,127.60208523475251,400.000005960464,26.1875,101.16666666666667,,40.5,3500852.4208593746,100.0,3.5,443.0,157.70833333333334,29366.0234928,,,,,,,,0.9600007680000999,1632.0,660.96,213.6287171487422,163.72096354167056,21.208333333333332,SLM00547,Jim O'Brien
2021-07-04,501.1666666666667,69.125,24.958333333333332,80.25,116.25833506571742,90.0,78.9000011757016,23.270833333333332,343.7083333333333,0.5041666741793357,1.429166687962912,1801.5625,367.8333333333333,1.1458333333333333,250.0,100.11666815852124,400.000005960464,26.479166666666668,101.5,,29.75,3503994.1679947916,100.5,3.5,448.4791666666667,124.89583333333333,29389.99779769371,,,,,,,,0.9471436148572442,1632.0,485.52,203.20942737026436,118.97122395832169,24.125,SLM00547,Jim O'Brien
2021-07-05,503.125,66.625,24.25,77.75,119.3000017777085,86.25,79.00000117719175,26.5,353.75,0.5250000078231101,1.5500000230967999,1803.25,376.75,1.75,250.0,101.50000151246788,400.000005960464,26.5,101.5,,30.5,3505658.2471875,100.375,3.125,460.875,125.0,29403.962808865715,,,,,,,,0.8678578371418553,1632.0,497.76,203.11046416506008,116.03390625002794,23.0,SLM00547,Jim O'Brien
2021-07-06,484.5625,71.625,26.625,81.125,205.61875306395825,90.0,80.90000120550394,81.9375,510.25,0.9000000134110452,2.187500032596291,1801.0,531.25,4.1875,250.0,145.11250216234475,400.000005960464,26.375,101.0625,,47.5,3506627.79859375,99.8125,3.0,442.0625,183.9375,29409.97352796,,,,,,,,0.9000007200002074,1632.0,775.2,225.19933644470524,191.02421875001164,21.0,SLM00547,Jim O'Brien
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00547,Jim O'Brien
2021-07-08,507.3333333333333,68.73333333333333,24.333333333333332,79.93333333333334,89.04000132679938,90.0,78.45333450237906,13.666666666666666,292.53333333333336,0.4600000068545342,1.340000019967558,1802.9,291.6666666666667,1.5333333333333334,250.0,88.13333464662233,400.00000596046397,26.5,101.0,,25.066666666666666,3508112.1730833333,100.23333333333333,1.9666666666666666,453.3333333333333,116.23333333333333,29421.607537267202,,,,,,,,0.9304622828310433,1632.0,409.08799999999997,184.38936360342416,89.32599999997765,3.0,SLM00547,Jim O'Brien
2021-07-09,502.75,69.20833333333333,25.041666666666668,80.29166666666667,117.36458508220194,90.0,78.91666784261663,22.708333333333332,346.0833333333333,0.5375000080093745,1.4333333546916658,1800.7916666666667,364.9166666666667,1.5625,250.0,100.32708482832344,400.000005960464,26.416666666666668,101.16666666666667,,29.833333333333332,3510101.7583333333,100.3125,2.5625,448.5416666666667,124.22916666666667,29441.01884691388,,,,,,,,0.957647824941129,1632.0,486.88000000000005,203.7229800924973,117.27585937499923,20.083333333333332,SLM00547,Jim O'Brien
2021-07-10,502.5769230769231,69.23076923076923,24.923076923076923,80.46153846153847,118.28846330109693,90.0,79.07692425526105,25.423076923076923,343.15384615384613,0.553846162099105,1.4769230989309476,1803.0384615384614,360.9230769230769,1.5384615384615385,250.0,101.76923228571049,400.0000059604641,26.384615384615383,101.23076923076923,,30.153846153846153,3512357.6062019235,100.26923076923077,3.0384615384615383,448.0769230769231,126.46153846153847,29459.435332235294,,,,,,,,0.9411772235294987,1632.0,492.1107692307692,202.6460027965506,107.18100961541327,18.384615384615383,SLM00547,Jim O'Brien
2021-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00547,Jim O'Brien
