Timestamp,Current Geofence,Heading [Degrees],Speed [km/h],Latitude,Longitude,SMH,EXH_L,Turbo Outlet Pressure (absolute) [kPa],EXH_R,Fuel Filter Differential Pressure [kPa],Fuel_Rate,Boost,Load,Oil Filter Differential Pressure [kPa],Total_Fuel,Batt,Oil_Press,Coolant_Temp,RPM,Throttle Position [%],Cumulative Idle Time [Hrs],Cumulative Fuel Used Daily [L],Cumulative Idle Fuel Usage [L],DIAG_STATS,EVENT_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-08-04,,,,,,51052.20176765466,468.6666666666667,170.08333333333334,450.8333333333333,66.95833333333333,172.16666923214999,67.16666666666667,43.916666666666664,150.625,117.82088625,26.916666666666668,401.375,95.25,1797.4166666666667,88.8000013232231,,,,,,0.5001855853339899,1678.0,736.9216666666666,198.4783191041162,,17.833333333333332,TTG00232,Ilha da Trindade
2021-08-05,,,,,,51065.64222000247,452.9230769230769,163.19230769230768,427.61538461538464,76.26923076923077,152.28846380773655,58.88461538461539,40.76923076923077,138.03846153846155,117.82088625,26.923076923076923,410.2307692307692,89.3076923076923,1668.576923076923,78.76923194298375,,,,,,0.42222256000017155,1560.1703846153846,659.5714346153846,231.3412988507596,,25.307692307692307,TTG00232,Ilha da Trindade
2021-08-06,,,,,,51085.0814477426,344.0,131.5,324.3478260869565,53.97826086956522,96.54347969947942,28.282608695652176,28.304347826086957,109.71739130434783,117.82088625,26.97826086956522,402.2608695652174,81.43478260869566,1224.1521739130435,44.434783270825505,,,,,,0.42956556104415894,955.930652173913,374.93924565217395,1184.2311099716474,,19.652173913043477,TTG00232,Ilha da Trindade
2021-08-07,,,,,,51109.365042048696,294.5652173913044,118.04347826086956,287.60869565217394,32.67391304347826,75.50000112503763,15.08695652173913,22.434782608695652,106.95652173913044,117.82088625,26.97826086956522,414.80434782608694,78.43478260869566,1283.8478260869565,49.130435514709234,,,,,,0.44473465530451073,972.7047826086956,283.1038913043478,756.4928096373869,,8.26086956521739,TTG00232,Ilha da Trindade
2021-08-08,,,,,,51133.33887765287,301.1304347826087,127.91304347826087,321.8695652173913,18.52173913043478,116.3565234729777,25.17391304347826,31.304347826086957,100.575,117.82088625,26.956521739130434,423.2173913043478,79.26086956521739,1276.0434782608695,48.52173985346503,,,,,,0.32115967721873184,970.553043478261,450.35011304347825,749.1400977472771,,39.69565217391305,TTG00232,Ilha da Trindade
2021-08-09,,,,,,51156.96999961734,308.875,127.6875,312.7083333333333,57.479166666666664,104.34583488820738,24.208333333333332,28.208333333333332,107.33333333333333,117.82088625,26.979166666666668,423.0,79.33333333333333,1298.2083333333333,50.25000074878334,,,,,,0.43833368400040246,987.341875,391.6924104166667,782.4618362709715,,19.083333333333332,TTG00232,Ilha da Trindade
2021-08-10,,,,,,51180.94511139,271.7083333333333,117.66666666666667,263.7916666666667,81.28260869565217,71.93333440522345,14.458333333333334,19.083333333333332,101.8125,117.82088625,26.979166666666668,415.6666666666667,77.70833333333333,1169.1041666666667,40.20000059902669,,,,,,0.4250929326675153,802.5016666666667,236.66493125,1076.4676587437932,,8.0,TTG00232,Ilha da Trindade
2021-08-11,,,,,,51204.924575018,228.58333333333334,104.10416666666667,220.16666666666666,77.66666666666667,44.57708399758362,2.1041666666666665,13.708333333333334,93.66666666666667,117.82088625,27.0,417.25,75.875,952.8958333333334,23.316667014112088,,,,,,0.4999078073324199,462.7991666666667,70.31869375000001,868.0570641302575,,8.416666666666666,TTG00232,Ilha da Trindade
2021-08-12,,,,,,51228.927371998,327.4166666666667,124.77083333333333,312.4166666666667,101.5625,85.83750127907844,21.9375,25.125,109.1875,117.82088625,26.958333333333332,420.1041666666667,80.70833333333333,1211.7708333333333,43.450000647455454,,,,,,0.500092992667002,876.0054166666667,287.9175354166667,631.3348734579469,,15.083333333333334,TTG00232,Ilha da Trindade
2021-08-13,,,,,,51252.92952082934,314.7391304347826,117.75,301.7083333333333,110.25,73.62291776373368,15.458333333333334,24.041666666666668,109.3125,117.82088625,27.0,416.75,80.625,1267.875,47.833334046105534,,,,,,0.5000003999991046,957.4416666666666,290.5940791666667,627.7239742623567,,10.826086956521738,TTG00232,Ilha da Trindade
2021-08-14,,,,,,51276.932132624,249.91666666666666,111.10416666666667,242.75,101.75,55.041667486851374,8.083333333333334,16.75,100.29166666666667,117.82088625,26.979166666666668,422.75,77.16666666666667,1063.3125,31.966667143007115,,,,,,0.5000003999994078,604.6445833333333,135.16080416666668,621.8159242534912,,7.166666666666667,TTG00232,Ilha da Trindade
2021-08-15,,,,,,51300.501318146,219.5625,106.0625,209.75,110.0,48.42187572154215,3.6875,11.75,92.9375,117.82088625,27.0,407.0625,76.3125,967.8125,24.575000366196043,,,,,,0.4997226220002631,519.541875,95.54975625,1580.749806320501,,9.8125,TTG00232,Ilha da Trindade
2021-08-16,,,,,,51321.37010468229,341.57142857142856,130.9047619047619,327.76190476190476,179.4,101.9547634240062,28.214285714285715,28.571428571428573,112.42105263157895,117.82088624999999,26.976190476190474,418.0,79.28571428571429,1452.547619047619,62.095239020529235,,,,,,0.41920668457134436,1198.6195238095238,440.1461571428571,1126.7217731668302,,13.80952380952381,TTG00232,Ilha da Trindade
