Timestamp,Fuel_Press,Left Air Filter Restriction [kPa],Aftercooler Temperature [Deg. C],EXH_R,Batt,Boost,Total_Fuel,Throttle Position [%],Total Operating Hours [Hours],Fuel Filter Differential Pressure [kPa],Fuel Position,Crank_Press,Coolant_Temp,Oil_Press,Load,RPM,Oil_Temp,Atmospheric Pressure [kPa],EXH_L,Peak Air Filter Restriction [kPa],Oil Filter Differential Pressure [kPa],Right Air Filter Restriction [kPa],Fuel_Rate,Inlet Air Temperature [Deg. C],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],SMH,Run Status,DIAG_STATS,EVENT_STATS,Cumulative Max Fuel Usage [L],SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-12-16,519.1153846153846,1.0923077085843458,23.076923076923077,334.0,25.576923076923077,,192946.82857142857,89.2000013291836,40091.012510919594,154.3846153846154,87.01538591201485,-2330.1689236111147,78.23076923076923,451.5,18.307692307692307,1804.1923076923076,86.76923076923077,101.5,355.61538461538464,1.3846153846153846,68.6923076923077,0.26923077324262,64.71538557971905,-2321.377812369006,,,,40065.45038978323,,,,,4.77481863466625,1678.0,307.20307692307694,175.8798594756461,2.7968253968251195,21.615384615384617,TTG00230,Macaé
2021-12-17,503.6,1.8750000279396795,26.9,575.45,25.5,,193341.81095564406,89.2000013291836,40100.05242268303,48.875,153.02750228028745,-1852.1000275984436,80.55,436.25,50.1,1803.95,90.65,101.5,607.75,1.975,71.675,0.3800000056624409,210.40750313531618,-1837.6326360785147,,,,40100.777684461216,,,,,0.209662003478234,1678.0,840.6779999999999,212.45275016937836,12.159769106130545,32.3,TTG00230,Macaé
2021-12-18,,,,,,,193586.04347826086,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40105.28545962358,,,,,1.4029191788722528e-05,,,,0.1739130434780236,,TTG00230,Macaé
2021-12-19,509.3,1.0300000153481963,28.45,441.3,25.5,,193670.2449121184,86.80000129342082,40110.57470843282,30.425,114.60250170771033,-1882.417049326798,77.35,447.4,31.8,1773.6,86.1,101.975,485.25,1.525,71.05,0.1900000028312204,124.57500185631224,-1866.608538452935,,,,40107.54754539341,,,,,0.19273171327501026,1639.982,529.8022,205.6755216575222,7.182354301572753,43.95,TTG00230,Macaé
2021-12-20,518.047619047619,0.9547619189889655,27.595238095238095,426.85714285714283,25.547619047619047,,194241.4976026371,89.2000013291836,40126.154302908355,32.142857142857146,109.9761921149634,-348.595749875333,78.47619047619048,448.1309523809524,29.38095238095238,1805.142857142857,87.52380952380952,101.85714285714286,472.0238095238095,1.5476190476190477,72.26190476190476,0.18333333606521265,112.90714453959048,-316.0957493910453,,,,40127.27739230359,,,,,0.4371401327027459,1678.0,493.01238095238097,192.84993393870732,13.003296373988517,45.166666666666664,TTG00230,Macaé
2021-12-21,,,,,,,194549.923415493,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40137.16498075795,,,,,0.00019769618191513354,,,,0.4841549295777678,,TTG00230,Macaé
2021-12-22,,,,,,,194565.6584507042,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40137.488109964805,,,,,0.0010666675198559748,,,,0.4841549295769686,,TTG00230,Macaé
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTG00230,Macaé
2021-12-24,514.0,0.900000013411045,26.0,384.0,25.5,,194571.68011363636,89.2000013291836,40138.1209654138,43.5,97.7000014558434,-3174.400047302251,78.0,464.0,23.0,1804.5,84.0,101.0,421.0,1.0,67.0,0.200000002980232,85.8500012792647,-3173.393797287257,,,,40138.31266618,,,,,0.008333340000035605,1678.0,385.94,189.0773205352516,0.07613636363657861,37.0,TTG00230,Macaé
2021-12-25,,,,,,,194574.72556818184,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40138.32103705757,,,,,1.2512522516772151e-05,,,,0.07613636363627545,,TTG00230,Macaé
2021-12-26,510.15384615384613,1.3076923271784417,26.615384615384617,525.6153846153846,25.5,,194624.8220137421,89.04615517304494,40143.14357605669,61.30769230769231,135.30384817003056,-2286.139568949858,78.84615384615384,444.65384615384613,41.69230769230769,1802.8076923076924,87.23076923076923,101.42307692307692,560.3076923076923,1.5,71.53846153846153,0.238461542014892,170.5076948484548,-2276.0418943807863,,,,40139.78497782446,,,,,0.11470183669582691,1678.0,699.5969230769231,205.5102230689417,7.747885835095076,34.69230769230769,TTG00230,Macaé
2021-12-27,511.7142857142857,1.4333333546916642,28.666666666666668,544.3809523809524,25.333333333333332,,195299.91363636366,88.9523822778747,40152.150936360806,56.11904761904762,141.6404783010838,-1843.200027465823,80.47619047619048,438.5,44.714285714285715,1802.5,90.38095238095238,101.5,583.6190476190476,1.5,73.4047619047619,0.271428575473172,184.55000275000927,-1827.8271105700821,,,,40155.096290718,,,,,0.18268070170006467,1678.0,750.3057142857143,207.56083208327644,10.21958648989918,39.23809523809524,TTG00230,Macaé
2021-12-28,,,,,,,195403.15643939396,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40157.38768144,,,,,,,,,0.12196969696924498,,TTG00230,Macaé
2021-12-29,,,,,,,195409.0109848485,,,,,-3276.80004882813,,,,,,,,,,,,-3276.80004882813,,,,40157.38771099085,,,,,9.850283580211302e-06,,,,0.12196969696985131,,TTG00230,Macaé
