Timestamp,Left Turbo Inlet Pressure (absolute) [kPa],Total_Fuel,Throttle Position [%],RPM,Total Operating Hours [Hours],Fuel Position,Boost,Fuel_Press,Batt,Fuel Filter Differential Pressure [kPa],EXH_L,Load,Crank_Press,Coolant_Temp,Oil_Temp,EXH_R,Oil_Press,Atmospheric Pressure [kPa],Inlet Air Temperature [Deg. C],Peak Air Filter Restriction [kPa],Aftercooler Temperature [Deg. C],Right Air Filter Restriction [kPa],Left Air Filter Restriction [kPa],Oil Filter Differential Pressure [kPa],Fuel_Rate,SMH,Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Longitude,Heading [Degrees],Speed [km/h],Engine Code Description,Run Status,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2022-02-10,99.5,204124.28525641025,88.80000132,1800.448717948718,36932.73798794872,107.8948734179487,,,25.5,4.0,411.5897435897436,28.28205128205128,,20.487179487179485,88.58974358974359,389.61538461538464,,100.0,37.93076979666667,0.5,24.82051282051282,0.300000004,0.600000009,0.5,108.24615545615386,36932.73621538462,,,,,,,,,,0.47635360946748195,1678.0,474.5728205128205,193.05025377152333,14.044871794871796,21.974358974358974,TTG00233,Macaé
2022-02-11,99.5,204730.37740384616,88.80000132,1800.0192307692307,36954.75985173077,105.95384773846155,,,25.5,4.0,404.2307692307692,27.192307692307693,,20.634615384615383,88.8076923076923,386.78846153846155,,100.0,37.74423133076923,0.5,24.942307692307693,0.300000004,0.600000009,0.5,103.21250153711539,36954.755534038464,,,,,,,,,,0.41912197649547195,1678.0,456.286923076923,192.0795457944992,12.63701923076923,17.442307692307693,TTG00233,Macaé
2022-02-12,99.5,205391.08854166666,88.825001320625,1801.40625,36978.48329979167,106.611459925,,,25.5,4.0,413.0625,27.583333333333332,,20.583333333333332,89.4375,389.1875,,100.0,38.66458391041667,0.5,24.583333333333332,0.300000004,0.600000009,0.5,105.0531265625,36978.514025000004,,,,,,,,,,0.48970551020420316,1678.0,462.84833333333336,192.87447474163676,14.013020833333334,23.875,TTG00233,Macaé
2022-02-13,99.5,206084.51822916666,88.84166798770833,1802.0729166666667,37002.483271875004,109.82187664166668,,,25.5,4.0,424.0416666666667,29.145833333333332,,21.375,90.5,400.3333333333333,,100.0,39.68958392583333,0.5,24.895833333333332,0.300000004,0.600000009,0.5,111.87812666458332,37002.51516,,,,,,,,,,0.4898416326530726,1678.0,489.06708333333336,194.09280311604437,15.057291666666666,23.708333333333332,TTG00233,Macaé
2022-02-14,99.5,206843.08854166666,88.83333465416668,1801.28125,37026.48316791667,114.56354335625001,,,25.5,4.0,433.25,31.5,,21.854166666666668,91.1875,413.3333333333333,,100.0,40.329167268125,0.5,25.020833333333332,0.300000004,0.600000009,0.5,122.42708516,37026.517400000004,,,,,,,,,,0.4898416326529211,1678.0,528.57,196.75468199134525,16.2578125,19.916666666666668,TTG00233,Macaé
2022-02-15,99.5,207621.8984375,88.85000132125002,1801.6041666666667,37050.483105625004,115.03750171041666,,,25.5,4.0,431.1666666666667,31.708333333333332,,21.9375,91.22916666666667,414.2083333333333,,100.0,39.850000593124996,0.5,25.145833333333332,0.300000004,0.600000009,0.5,123.48750183062499,37050.516305,,,,,,,,,,0.48970551020405156,1678.0,532.0658333333333,196.3062010523196,16.369791666666668,17.458333333333332,TTG00233,Macaé
2022-02-16,99.5,208343.70113636364,88.8545467759091,1800.6818181818182,37067.91497727273,141.7318202818182,,,25.5,4.0,466.54545454545456,44.77272727272727,-1474.56002205,23.318181818181817,94.63636363636364,461.6818181818182,,100.0,-1452.680021724,0.5,25.727272727272727,0.300000004,0.600000009,0.5,184.4431845668182,37069.09742947619,,,,,,,,,,0.23818476190463117,1678.0,751.2863636363636,206.2783310578652,12.501136363636032,6.863636363636363,TTG00233,Macaé
2022-02-17,99.5,208547.03145832103,88.80000132,1800.0,37074.48878,97.27500144999999,,,25.5,4.0,359.5,23.0,-3134.3304816521736,20.5,86.5,365.5,,100.0,-3132.795699020652,0.5,26.0,0.300000004,0.600000009,0.5,84.125001255,37074.493090217395,,,,,,,,,,0.017024173912985767,1678.0,385.94000000000005,185.09900003419926,0.7070423573832554,9.0,TTG00233,Macaé
2022-02-18,,208558.38694029851,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.050746268657045825,,TTG00233,Macaé
2022-02-19,,208560.82276119405,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.0507462686564395,,TTG00233,Macaé
2022-02-20,,208563.25858208956,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.0507462686564395,,TTG00233,Macaé
2022-02-21,,208565.69440298507,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.050746268657045825,,TTG00233,Macaé
2022-02-22,,208568.1302238806,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.0507462686564395,,TTG00233,Macaé
2022-02-23,,208570.56604477612,,,,,,,,,,,-3276.800049,,,,,,-3276.800049,,,,,,,37075.34522,,,,,,,,,,,,,,0.050746268657045825,,TTG00233,Macaé
