Timestamp,RPM,Batt,Fuel Filter Differential Pressure [kPa],Total Operating Hours [Hours],Throttle Position [%],EXH_L,Right Air Filter Restriction [kPa],Fuel_Rate,Oil_Temp,Boost,Load,EXH_R,Crank_Press,Total_Fuel,Fuel Position,Atmospheric Pressure [kPa],Fuel_Press,FRC Fuel Limit,Oil_Press,Coolant_Temp,Aftercooler Temperature [Deg. C],Inlet Air Temperature [Deg. C],Left Air Filter Restriction [kPa],Latitude,Longitude,Speed [km/h],Heading [Degrees],Cumulative Idle Time [Hrs],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],SMH,DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-12-05,1806.1739130434783,23.5,29.369565217391305,29497.309280423615,89.20000132918359,481.04347826086956,0.17391304606976693,142.7456543009891,90.91304347826087,29.32608695652174,36.30434782608695,466.17391304347825,-1706.6666920979844,254590968.51330805,123.45869749185188,101.52173913043478,476.7391304347826,201.77391605014387,455.3478260869565,84.82608695652173,26.52173913043478,-1689.9208585151189,0.32608696138081306,,,,,,,,29500.2268640515,,,0.23306152904168206,1678.0,609.1869565217391,198.86477070529074,8.666168811420599,15.304347826086957,ABB00240,SS Moretti
2021-12-06,,,,,,,,,,,,,-3276.80004882813,254591066.7982537,,,,,,,,-3276.80004882813,,,,,,,,,29503.0236024,,,,,,,0.061580882097284,,ABB00240,SS Moretti
2021-12-07,,,,,,,,,,,,,-3276.80004882813,254591069.75413606,,,,,,,,-3276.80004882813,,,,,,,,,29503.02360529352,,,2.893520786528825e-06,,,,0.06158088271816572,,ABB00240,SS Moretti
2021-12-08,1804.6323529411766,23.5,31.647058823529413,29511.28776714372,89.2000013291836,548.1176470588235,0.27058823932619624,191.8264734466725,90.58823529411765,52.23529411764706,46.794117647058826,523.0,-955.7333475748713,254591377.1569585,144.51911980056147,101.48529411764706,477.25,225.08676805993656,460.02941176470586,84.5,28.58823529411765,-929.572930518384,0.39411765293163403,,,,,,,,29508.873575841786,,,0.33311077563318275,1678.0,785.2052941176471,206.2931574122598,17.669002757097285,26.176470588235293,ABB00240,SS Moretti
2021-12-09,1804.2446808510638,23.5,30.27659574468085,29531.649767690884,89.20851196760829,437.27659574468083,0.1574468108567784,117.42872515407971,89.87234042553192,18.319148936170212,32.234042553191486,394.1276595744681,,254592280.36968085,112.24361869383685,101.41489361702128,479.77659574468083,189.12127941387132,462.56382978723406,83.65957446808511,27.95744680851064,36.3361707542171,0.2765957488024485,,,,,,,,29531.547990540093,,,0.489753853471097,1678.0,540.8872340425532,187.6037066610872,15.856382978723405,43.148936170212764,ABB00240,SS Moretti
2021-12-10,1804.5833333333333,23.5,30.020833333333332,29555.786229165944,89.20000132918362,426.4791666666667,0.16875000251457073,110.4979183132139,89.89583333333333,15.6875,31.041666666666668,387.4375,,254593007.29427084,109.19687662716018,101.34375,479.4166666666667,186.9708361194159,462.5625,83.70833333333333,28.083333333333332,36.6833338799576,0.2958333377415932,,,,,,,,29555.679289838197,,,0.48988417875504336,1678.0,520.8791666666667,183.942355281335,14.484375,39.041666666666664,ABB00240,SS Moretti
2021-12-11,1803.5416666666667,23.5,29.645833333333332,29579.789690638732,89.20000132918362,431.875,0.1645833357858159,110.76354331717205,90.04166666666667,16.416666666666668,31.979166666666668,390.7916666666667,,254593701.484375,109.39895996350488,101.01041666666667,479.4375,186.87083611792582,461.7083333333333,83.9375,28.666666666666668,37.40000055730342,0.2875000042840835,,,,,,,,29579.680284095666,,,0.4897509586938516,1678.0,536.6104166666667,180.34211876248287,14.65625,41.083333333333336,ABB00240,SS Moretti
2021-12-12,1804.78125,23.5,31.458333333333332,29603.7930942411,89.20833466264111,422.6458333333333,0.18125000270083524,107.52395993556519,90.08333333333333,15.385416666666666,29.666666666666668,384.2916666666667,,254594389.296875,107.85208494045465,100.96875,477.28125,185.35312776197682,461.6666666666667,83.9375,27.979166666666668,36.56458387818809,0.2875000042840835,,,,,,,,29603.678129257645,,,0.48975284834015537,1678.0,497.8066666666667,186.56924871442126,14.143229166666666,38.354166666666664,ABB00240,SS Moretti
2021-12-13,1804.53125,23.5,34.385416666666664,29627.796538352763,89.20833466264111,427.4791666666667,0.18125000270083524,108.19791827894136,90.125,14.96875,30.9375,385.9583333333333,,254595075.5703125,108.29062661365602,101.0625,477.1875,186.09479443969516,461.3333333333333,84.125,28.416666666666668,37.04791721872365,0.29375000437721577,,,,,,,,29627.680459495023,,,0.4898397720680047,1678.0,519.13125,181.4864671620984,14.3984375,41.520833333333336,ABB00240,SS Moretti
2021-12-14,1804.4791666666667,23.5,38.84375,29651.799976677383,89.20833466264111,436.6875,0.22500000335276102,112.47812667605466,90.29166666666667,16.09375,30.958333333333332,393.8125,,254595777.984375,109.96145997188675,101.15625,475.09375,186.0989611064239,460.96875,84.35416666666667,28.145833333333332,37.064583885638655,0.3145833380209899,,,,,,,,29651.682563919665,,,0.48975095869377583,1678.0,519.4808333333333,187.150895991441,14.802083333333334,42.875,ABB00240,SS Moretti
