Timestamp,Longitude,Speed [km/h],Heading [Degrees],Cumulative Idle Fuel Usage [L],Cumulative Fuel Used Daily [L],Cumulative Idle Time [Hrs],Cumulative Max Fuel Usage [L],SMH,Aftercooler Temperature [Deg. C],Fuel_Press,Fuel_Rate,Inlet Air Temperature [Deg. C],Coolant_Temp,Oil Filter Differential Pressure [kPa],Fuel Filter Differential Pressure [kPa],Batt,Load,Total Operating Hours [Hours],Total_Fuel,Left Air Filter Restriction [kPa],RPM,EXH_R,Oil_Press,Boost,Throttle Position [%],Oil_Temp,Crank_Press,Turbo Outlet Pressure (absolute) [kPa],EXH_L,Right Air Filter Restriction [kPa],DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-07-01,,,,,,,,26456.156720464,,,123.625001842156,,83.5,68.25,76.5,23.0,28.0,,500885.125,,1806.0,382.0,465.5,42.25,89.2000013291836,,,144.75,399.0,,,,,1678.0,469.84000000000003,223.6558675936885,,17.0,ABB00239,SS Moretti
2021-07-02,,,,,,,,26456.156720464,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-03,,,,,,,,26456.156720464,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-04,,,,,,,,26456.156720464,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-05,,,,,,,,26456.818943216,,,42.52500063367185,,61.5,49.0,57.75,23.25,8.5,,500885.125,,1433.0,189.5,491.75,7.5,60.40000090003015,,,111.0,187.5,,,,0.052977820160018986,1135.2,110.06200000000001,608.5590232588182,,12.0,ABB00239,SS Moretti
2021-07-06,,,,,,,,26457.481165968,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-07,,,,,,,,26459.888687894017,,,158.200002357364,,85.0,70.0,69.5,23.0,35.0,,500885.125,,1805.0,433.0,458.5,55.5,89.2000013291836,,,163.0,433.0,,,,0.1957334899198031,1678.0,587.3,228.96305466330568,,,ABB00239,SS Moretti
2021-07-08,,,,,,,,26462.374503215997,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-09,,,,,,,,26462.60314108007,,,,,,,,,,,500885.125,,,,,,,,,,,,,,0.018133347840098988,,,,,,ABB00239,SS Moretti
2021-07-10,,,,,,,,26463.801171024,,,105.9250015784055,,78.5,62.75,65.75,23.0,25.0,,500885.125,,1804.75,357.5,486.5,30.25,89.2000013291836,,,137.5,366.5,,,,0.07786672895993736,1678.0,419.5,214.72998356401814,,10.0,ABB00239,SS Moretti
2021-07-11,,,,,,,,26467.551739681014,,,147.93333553771177,,85.0,69.66666666666667,66.33333333333333,23.0,32.666666666666664,,500885.125,,1805.5,417.0,459.3333333333333,57.5,89.20000132918362,,,156.83333333333334,417.3333333333333,,,,0.21288905920003096,1678.0,548.1466666666666,227.10321615712803,,11.666666666666666,ABB00239,SS Moretti
2021-07-12,,,,,,,,26470.096731616,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-13,,,,,,,,26470.096731616,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-14,,,,,,,,26470.096731616,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-15,,,,,,,,26470.6078740539,,,,,,,,,,,500885.125,,,,,,,,,,,,,,0.041688922239858504,,,,,,ABB00239,SS Moretti
2021-07-16,,,,,,,,26474.98623890925,,,138.52857349280814,,84.14285714285714,67.92857142857143,44.642857142857146,23.0,33.0,,500885.125,,1804.2142857142858,395.0,463.5,46.357142857142854,89.25714418717794,,,150.35714285714286,401.85714285714283,,,,0.300978018560114,1678.0,553.74,214.79924180639912,,10.0,ABB00239,SS Moretti
2021-07-17,,,,,,,,26490.66563696,,,157.52708568066979,,85.66666666666667,67.89583333333333,25.354166666666668,23.0,35.0,,500885.125,,1805.0625,429.125,458.9375,56.208333333333336,89.21666799609862,,,159.25,426.4166666666667,,,,0.9601785459199164,1678.0,587.3000000000001,228.49303119080022,,6.625,ABB00239,SS Moretti
2021-07-18,,,,,,,,26508.389214775212,,,125.19500186555089,,84.0,66.9,25.1,23.1,31.2,,500885.125,,1803.55,392.0,462.3,41.45,89.2000013291836,,,143.25,388.5,,,,0.46275592576007923,1678.0,523.536,207.3145587801777,,7.9,ABB00239,SS Moretti
2021-07-19,,,,,,,,26514.236766928003,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-20,,,,,,,,26514.236766928003,,,,,,,,,,,500885.125,,,,,,,,,,,,,,,,,,,,ABB00239,SS Moretti
2021-07-21,,,,,,,,26514.25454472,,,,,,,,,,,500885.125,,,,,,,,,,,,,,0.001422223360047307,,,,,,ABB00239,SS Moretti
2021-07-22,,,,,,,,26522.990107264002,,,134.39117847317289,,84.6470588235294,66.8529411764706,26.08823529411765,23.029411764705884,31.176470588235293,,500885.125,,1774.0,398.7647058823529,461.8529411764706,51.470588235294116,86.8941189418821,,,151.11764705882354,392.8235294117647,,,,0.697422780160044,1666.479411764706,521.0674705882353,216.9948989966822,,12.647058823529411,ABB00239,SS Moretti
2021-07-23,,,,,,,,26538.95873839638,,,148.32143078158998,,86.42857142857143,68.25,28.607142857142858,23.0,33.285714285714285,,500885.125,,1804.892857142857,421.85714285714283,458.07142857142856,54.142857142857146,89.2000013291836,,,156.0,413.92857142857144,,,,0.5851560236801363,1678.0,558.5342857142857,225.2239366535429,,11.071428571428571,ABB00239,SS Moretti
2021-07-24,,,,,,,,26548.519016576,,,116.75000173971075,,83.5,64.375,17.5,23.0,26.5,,500885.125,,1808.375,356.75,466.5,34.75,89.2000013291836,,,137.5,386.25,,,,0.174577917439971,1678.0,444.67,223.11515363589223,,29.5,ABB00239,SS Moretti
