Timestamp,Latitude,Longitude,Heading [Degrees],Speed [km/h],Oil Filter Differential Pressure [kPa],Turbo Outlet Pressure (absolute) [kPa],EXH_L,Load,Boost,Total_Fuel,Batt,Fuel_Rate,Throttle Position [%],Fuel Filter Differential Pressure [kPa],EXH_R,RPM,Coolant_Temp,Oil_Press,Cumulative Max Fuel Usage [L],Cumulative Idle Fuel Usage [L],SMH,DIAG_STATS,Run Status,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-08-02,,,,,41.642857142857146,102.64285714285714,188.14285714285714,3.4285714285714284,0.7142857142857143,486984263.0183573,26.0,39.89285773730703,16.114285954407286,19.285714285714285,153.14285714285714,859.2142857142857,81.57142857142857,366.2142857142857,,,52176.140788498284,,,0.4996829394294764,380.6835714285714,13.829685714285715,4028.217395175739,40.21998128720692,35.0,ABB00235,Florianopolis
2021-08-03,,,,,52.583333333333336,106.75,257.0416666666667,16.833333333333332,4.729166666666667,486985091.9133027,25.916666666666668,56.968750848900534,32.21666714673242,22.833333333333332,225.08333333333334,1066.1041666666667,86.08333333333333,393.9791666666667,,,52191.64129031667,,,0.5000929926657894,646.4104166666667,166.16592708333334,1260.1775167164524,58.49641387412945,31.958333333333332,ABB00235,Florianopolis
2021-08-04,,,,,56.229166666666664,109.5625,283.0,20.083333333333332,7.208333333333333,486986488.3944261,25.916666666666668,66.41458432298772,36.61666721229752,18.0625,250.25,1124.5208333333333,86.79166666666667,401.25,,,52215.642328035996,,,0.5000004000012268,740.4745833333333,219.60205208333332,1338.4425330030529,62.340970958272614,32.75,ABB00235,Florianopolis
2021-08-05,,,,,68.9375,116.78125,353.5,35.875,14.21875,407635062.1005735,25.875,91.66250136587773,71.80000106990337,15.28125,321.3125,1580.34375,85.0625,450.375,,,52235.718455208,,,0.4950003959984315,1442.633125,528.22676875,169.3391213118128,15870640.941414502,32.4375,ABB00235,Florianopolis
2021-08-06,,,,,54.02272727272727,112.8409090909091,324.45454545454544,29.318181818181817,10.522727272727273,233060719.31866312,25.886363636363637,83.20227396708319,45.25454612889073,21.65909090909091,292.22727272727275,1235.3636363636363,76.0909090909091,438.1818181818182,,,52255.49968315419,,,0.5001014101815765,980.2704545454545,404.4431977272727,1344.8242726512053,86.46220568228851,32.31818181818182,ABB00235,Florianopolis
2021-08-07,,,,,57.130434782608695,119.0,342.4347826086956,31.652173913043477,16.58695652173913,233062910.95790234,25.782608695652176,104.96956678155973,52.365218171606905,21.52173913043478,318.17391304347825,1327.108695652174,76.52173913043478,441.19565217391306,,,52280.0993119687,,,0.5000003999998823,1047.104347826087,452.4758065217391,1314.3567374505208,107.90475787028022,24.26086956521739,ABB00235,Florianopolis
2021-08-08,,,,,58.5625,123.125,341.1666666666667,31.166666666666668,20.958333333333332,233065473.1035745,25.75,117.33125174837186,53.466667463382095,20.291666666666668,307.9583333333333,1344.25,76.79166666666667,449.3541666666667,,,52303.772676318,,,0.5000929926660925,1047.3170833333334,452.73903541666664,721.7531300582565,121.15283566589157,33.208333333333336,ABB00235,Florianopolis
2021-08-09,,,,,58.47826086956522,121.84782608695652,335.2173913043478,34.82608695652174,19.869565217391305,233068400.66646335,25.782608695652176,120.29565396645793,54.52173994287202,49.630434782608695,306.3478260869565,1351.9565217391305,76.78260869565217,448.30434782608694,,,52327.447079315476,,,0.49990378156444815,1067.7343478260868,518.2932630434782,987.7809480233982,116.66880495651908,30.0,ABB00235,Florianopolis
2021-08-10,,,,,53.04545454545455,113.1590909090909,279.1363636363636,20.90909090909091,11.431818181818182,233070767.04426783,25.863636363636363,81.67045576243916,41.70909153060479,72.52272727272727,254.0909090909091,1189.3636363636363,75.72727272727273,434.70454545454544,,,52352.77370036728,,,0.5001014101815765,827.5738636363636,290.2825204545454,1182.11020505639,79.98829427361488,25.045454545454547,ABB00235,Florianopolis
2021-08-11,,,,,46.5625,102.8125,215.0,9.125,1.2708333333333333,233072033.04166338,26.0,41.891667290901125,21.30000031739473,69.10416666666667,188.25,926.3333333333334,75.0,424.8125,,,52375.773289474,,,0.49990780733302626,434.1622916666667,43.98240833333333,1678.8299844801084,41.65922566627463,26.75,ABB00235,Florianopolis
2021-08-12,,,,,55.8125,114.9375,316.125,27.0,13.416666666666666,233073441.115605,25.875,87.08541796434052,43.200000643730164,92.20833333333333,293.625,1210.3541666666667,77.58333333333333,441.8958333333333,,,52399.77367904467,,,0.5000929926657894,882.7129166666667,342.5798541666666,1380.496418758947,80.9131387496988,22.75,ABB00235,Florianopolis
2021-08-13,,,,,58.43478260869565,118.21739130434783,322.9130434782609,29.304347826086957,16.47826086956522,310989175.3213547,25.804347826086957,98.2478275509632,50.121739877306894,102.32608695652173,302.4347826086956,1296.8478260869565,77.3913043478261,448.3478260869565,,,52423.34715603548,,,0.4878264772177436,972.8965217391304,396.761397826087,1043.3705262615829,11130611.540576652,20.47826086956522,ABB00235,Florianopolis
2021-08-14,,,,,52.91304347826087,107.6304347826087,244.08695652173913,14.652173913043478,5.456521739130435,489079204.43811905,25.934782608695652,57.93695738506707,30.573913499065068,91.97826086956522,221.6086956521739,1044.5,75.26086956521739,439.30434782608694,,,52446.69345490574,,,0.500000399999566,590.6608695652175,142.2515586956522,1186.5223682560033,58.85901091409766,22.47826086956522,ABB00235,Florianopolis
